"縣市別","202104總人口數","75歲以上"
"臺北市","2581006","191251"
"新北市","4027730","202227"
"桃園市","2270971","101587"
"臺中市","2820979","136223"
"臺南市","1871224","64603"
"高雄市","2760028","86502"
"新竹縣","572422","32464"
"彰化縣","1262673","90134"
"雲林縣","674622","59855"
"屏東縣","809765","59077"
"基隆市","367088","23715"
"宜蘭縣","452355","34629"
"新竹市","452229","22694"
"苗栗縣","541226","41717"
"嘉義市","265416","17365"
"嘉義縣","497641","47328"
"花蓮縣","323441","22611"
"臺東縣","214599","15424"
"南投縣","489148","39497"
"澎湖縣","105905","7872"
"金門縣","140325","7872"
"連江縣","13403","551"
"參考資料","https://zh.wikipedia.org/wiki/臺灣人口","https://www.facebook.com/TWCDC/photos/a.187029023406/10159150041378407"